Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
18 January11:48,Sounding Rocket V,,Taiwan,Jiu Peng Air Base,NSPO,,NSPO/NCU,Suborbital,Ionospheric research,11:57,Successful,"
Apogee: 282 kilometres (175 mi)
"
19 January19:00:00,Atlas V 551,,United States,Cape Canaveral SLC-41,International Launch Services,New Horizons,NASA,Galactocentric,Pluto flyby,In orbit,Operational,"
Maiden flight of Atlas V 551, first spacecraft to visit Pluto and explored the Kuiper belt. First spacecraft launched directly to sun-escape velocity
"
22 January04:00,S-310,,Japan,Uchinoura,JAXA,Furoshiki,JAXA,Suborbital,Technology,22 January,Successful,"
Apogee: 130 kilometres (81 mi)
"
24 January01:33,H-IIA 2022,,Japan,Tanegashima LA-Y1,JAXA,Daichi (ALOS),JAXA,Sun-synchronous,Remote Sensing,In orbit,Partial spacecraft failureOperational,"
Poor quality images returned due to attitude control and noise problems was resolved by software adjustment.
"
6 February,Dong Feng 21,,China,Xichang,PLA,,PLA,Suborbital,ASAT,6 February,Spacecraft failure,"
Apogee: 800 kilometres (500 mi), missed satellite
"
8 February18:47,Black Brant IX,,United States,White Sands LC-36,NASA,MOSES,,Suborbital,Solar,8 February,Successful,"
Apogee: 282 kilometres (175 mi)
"
15 February23:34:55,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,EchoStar X,EchoStar,Geosynchronous,Communications,In orbit,Operational
16 February08:01,LGM-30G Minuteman III,,United States,Vandenberg LF-10,US Air Force,SERV-3,US Air Force,Suborbital,Missile test,16 February,Successful,"
Apogee: 1,300 kilometres (810 mi)
"
18 February06:27,H-IIA 2024,,Japan,Tanegashima LA-Y1,RSC,MTSAT-2,MILT/JMA,Geosynchronous,ATC/Weather,In orbit,Operational,"
Last launch conducted by RSC
"
21 February21:28:00,M-V,,Japan,Uchinoura,JAXA,"Akari (ASTRO-F)
Cute-1.7+APD","JAXA
TiTech","Sun-synchronous
Low Earth","IR astronomy
Amateur radio","In orbit
In orbit","Operational
Operational","
Cute-1.7+APD is a 2U CubeSat
"
23 February16:09,UGM-27 Polaris (STARS),,United States,Kodiak,Sandia,FT-03-1,,Suborbital,Target,23 February,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
28 February20:10:00,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Arabsat 4A,Arabsat,Intended: GeosynchronousAchieved: Medium Earth,Communications,24 March,Launch failure,"
Upper stage malfunction left payload in useless orbit, deorbited after attempts to raise orbit failed
"
8 March08:45,RIM-161 Standard Missile 3,,United States,"USS Lake Erie, PMRF",US Navy,JCTV-1,US Navy/MDA/JMSDF,Suborbital,Missile test,8 March,Successful,"
Apogee: 150 kilometres (93 mi)
"
11 March22:33,Ariane 5ECA,,France,Kourou ELA-3,Arianespace,"Spainsat
Hot Bird 7A","Hisdesat
Eutelsat","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
22 March14:03,Pegasus-XL,,United States,"Stargazer, Vandenberg",Orbital Sciences,"ST-5A
ST-5B
ST-5C","NASA
NASA
NASA","Low Earth
Low Earth
Low Earth","Technology
Technology
Technology","In orbit
In orbit
In orbit","Successful
Successful
Successful","
All three satellites deactivated on 30 June
"
24 March22:30,Falcon 1,,Marshall Islands,Omelek,SpaceX,FalconSat 2,USAF Academy,Intended: Low Earth,Plasma research,T+60 seconds,Launch failure,"
Maiden flight of Falcon 1, rocket lost power shortly after launch due to engine fire caused by corrosion of a nut on a fuel line.
"
25 March03:15,Terrier-Orion,,Australia,Woomera LA-2,Queensland,Hyshot-3,Queensland,Suborbital,Hypersonic research,03:25,Successful,"
Apogee: 325 kilometres (202 mi)
"
30 March02:30:20,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TMA-8,Roskosmos,Low Earth (ISS),ISS Expedition 13,29 September01:13,Successful,"
Crewed orbital flight with 3 cosmonauts, first Brazilian in space
"
30 March02:40,Terrier-Orion,,Australia,Woomera LA-2,Queensland,Hyshot-4,Queensland/JAXA,Suborbital,Hypersonic research,30 March,Launch failure,"
Apogee: 290 kilometres (180 mi), nosecone failed to separate
"
7 April13:00,LGM-30G Minuteman III,,United States,Vandenberg LF-26,US Air Force,GT-190GM,US Air Force,Suborbital,Missile test,7 April,Successful,"
Long-range test, aimed at Guam, apogee: 1,300 kilometres (810 mi)
"
12 April18:10,Black Brant IX,,United States,White Sands LC-36,NASA,EUNIS,NASA,Suborbital,Solar,12 April,Successful,"
Apogee: 318 kilometres (198 mi)
"
12 April23:29:59,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,"JCSAT-5A (JCSAT-9, N-STAR d)",JCSAT,Geosynchronous,Communications,In orbit,Operational
13 April,SR19-SR19,,United States,PMRF,Sandia,FTC-02B,MDA,Suborbital,Target,13 April,Successful,"
Apogee: 200 kilometres (120 mi)
"
15 April01:40:00,Minotaur I,,United States,Vandenberg SLC-8,Orbital Sciences,"COSMIC-FM1 (FORMOSAT-3A)
COSMIC-FM2 (FORMOSAT-3B)
COSMIC-FM3 (FORMOSAT-3C)
COSMIC-FM4 (FORMOSAT-3D)
COSMIC-FM5 (FORMOSAT-3E)
COSMIC-FM6 (FORMOSAT-3F)","NASA/NSPO
NASA/NSPO
NASA/NSPO
NASA/NSPO
NASA/NSPO
NASA/NSPO","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Atmospheric
Atmospheric
Atmospheric
Atmospheric
Atmospheric
Atmospheric","In orbit
In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Partial spacecraft failureOperational
Partial spacecraft failureOperational
Operational
Operational
Operational","
Power system and solar panel malfunctions on FM2 and FM3, control issues with FM6 during 2007
"
20 April20:27:00,Atlas V 411,,United States,Cape Canaveral SLC-41,International Launch Services,Astra 1KR,SES Astra,Geosynchronous,Communications,In orbit,Operational,"
Maiden flight of Atlas V 411, final ILS Atlas launch
"
22 April16:40,Kosmos-3MR,,Russia,Kapustin Yar Site 107/1,RVSN,PBS-2,RVSN,Suborbital,REV test,22 April,Successful,"
Apogee: 675 kilometres (419 mi)
"
24 April16:03:25,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-56,Roskosmos,Low Earth (ISS),Logistics,18 September,Successful,"
ISS flight 21P
"
25 April16:47:16,Start-1,,Russia,Svobodny Site 5,United Start,EROS B,ImageSat,Low Earth (polar),Imaging,In orbit,Operational,"
Final launch from Svobodny Cosmodrome
"
26 April22:48,Long March 4B-II (4C),,China,Taiyuan LC-1,CNSA,Yaogan 1,CAST,Low Earth,Imaging,In orbit,Operational,"
Maiden flight of Long March 4B-II, redesignated Long March 4C by November 2007
"
28 April10:02:16,Delta II 7420-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"CALIPSO
CloudSat","NASA/CNES
NASA","Sun-synchronous
Sun-synchronous","Climatology
Climatology","In orbit
In orbit","Operational
Operational","
Both satellites part of the A-train constellation, spacecraft study aerosols and clouds respectively
"
28 April,SR19-SR19,,United States,PMRF,Sandia,FTC-02,MDA,Suborbital,Target,28 April,Successful,"
Apogee: 200 kilometres (120 mi)
"
29 April,Shaheen-II,,Pakistan,Sonmiani,Army of Pakistan,,Army of Pakistan,Suborbital,Target,29 April,Successful,"
Apogee: 300 kilometres (190 mi)
"
2 May06:16,Maxus (Castor 4B),,Sweden,Esrange,EuroLaunch,MAXUS 9,ESA/SSC,Suborbital,Microgravity,2 May,Successful,"
Apogee: 702 kilometres (436 mi)
"
3 May17:38,Soyuz-U,,Russia,Plesetsk Site 16/2,RVSN,Kosmos 2420 (Kobal't-M),VKS,Low Earth,Optical imaging,In orbit,Operational
10 May08:12,VSB-30,,Sweden,Esrange,EuroLaunch,TEXUS-43,DLR/SSC,Suborbital,Microgravity,10 May,Successful,"
Apogee: 237 kilometres (147 mi)
"
11 May,THAAD,,United States,White Sands,US Army,FTT-02,MDA,Suborbital,ABM test,11 May,Successful,"
Apogee: 100 kilometres (62 mi), simulated intercept
"
22 May09:30,Terrier-Orion,,United States,White Sands,NASA,ACS,NASA,Suborbital,Test,22 May,Successful,"
Apogee: 150 kilometres (93 mi)
"
22 May,Shahab-3,,Iran,Shahrood,IRG,,IRG,Suborbital,Missile test,22 May,Successful,"
Apogee: 150 kilometres (93 mi)
"
24 May22:11:00,"Delta IV-M+ (4,2)",,United States,Cape Canaveral SLC-37B,Boeing IDS,GOES 13 (GOES-N),NASA/NOAA,Geostationary,Weather,In orbit,Operational
26 May18:50,Shtil',,Russia,"K-84 Ekaterinburg, Barents Sea",VMF,Kompass 2,Roskosmos,Low Earth,Earthquake detection,28 December 2011,Partial spacecraft failure,"
Control and power problems made satellite unusable. Written off on 29 May 2006. Problems cleared by November, and satellite re-activated.
"
27 May21:09,Ariane 5ECA,,France,Kourou ELA-3,Arianespace,"Satmex 6
Thaicom 5","SatMex
Shin Satellite","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational","
Record for heaviest dual-payload to geosynchronous transfer orbit, stood until May 2007
"
5 June16:05,Terrier-Orion,,United States,White Sands,NASA,,NAWC,Suborbital,Target,5 June,Successful,"
Apogee: 130 kilometres (81 mi)
"
7 June22:00,Terrier-Orion,,United States,PMRF,NASA,,NAWC,Suborbital,Target,7 June,Successful,"
Apogee: 130 kilometres (81 mi)
"
8 June16:00,Terrier-Orion,,United States,White Sands,NASA,DUNDEE,NAWC,Suborbital,Target,8 June,Successful,"
Apogee: 130 kilometres (81 mi)
"
14 June08:22,LGM-30G Minuteman III,,United States,Vandenberg LF-04,US Air Force,GT-191GM,US Air Force,Suborbital,Missile test,14 June,Successful,"
Carried three Mk. 21 re-entry vehicles, Apogee: 1,300 kilometres (810 mi)
"
15 June08:00:00,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Resurs-DK-1,Roskosmos,Low Earth,Remote sensing,In orbit,Operational
17 June22:44:05,Proton-K/DM-3,,Kazakhstan,Baikonur Site 200/39,Khrunichev,KazSat-1,JSC KazSat,Geosynchronous,Communications,In orbit,Spacecraft failure,"
First Kazakh satellite, satellite suffered control problems and was unusable by October 2008
"
18 June07:50,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,Galaxy 16,Intelsat,Geosynchronous,Communications,In orbit,Operational,"
Launched for PanAmSat, transferred to Intelsat before entry into service due to merger
"
21 June22:15,Delta II 7925,,United States,Cape Canaveral SLC-17A,Boeing IDS,"USA-187 (MiTEx-A)
USA-188 (MiTEx-B)
USA-189 (MiTEx Carrier)","US Air Force/DARPA
US Air Force/DARPA
NRL/DARPA","Geostationary
Geostationary
Geostationary","Technology
Technology
Technology","In orbit
In orbit
In orbit","Operational
Operational
Operational"
22 June22:00,MRT (Castor 4B),,United States,PMRT,US Navy,FTM-10 Target,US Navy/MDA,Suborbital,Target,22 June,Successful,"
Intercepted by SM-3, apogee: 150 kilometres (93 mi)
"
22 June22:04,RIM-161 Standard Missile 3,,United States,"USS Shiloh, PMRF",US Navy,FTM-10,US Navy/MDA,Suborbital,ABM test,22 June,Successful,"
Intercepted MRT, apogee: 150 kilometres (93 mi)
"
23 June23:02,Terrier-Orion,,United States,PMRF,NASA,TRACKEX,NAWC/MDA,Suborbital,Target,23 June,Successful,"
Apogee: 130 kilometres (81 mi)
"
24 June15:08:18,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-57,Roskosmos,Low Earth (ISS),Logistics,17 January 2007,Successful,"
ISS flight 22P
"
25 June04:00,Tsyklon-2,,Kazakhstan,Baikonur Site 90/20,VKS,Kosmos 2421 (US-PU),VMF,Low Earth,ELINT,20 March 2008,Partial spacecraft failure,"
Final flight of Tsyklon-2 rocket. One of satellite's solar panels failed to deploy, ceased operations in February or March 2008 and destroyed in orbit on 20 March. Spacecraft carried KONUS-A gamma-ray astronomy experiment for Roskosmos
"
28 June03:30:00,"Delta IV-M+ (4,2)",,United States,Vandenberg SLC-6,Boeing IDS,USA-184 (Improved Trumpet),NRO,Molniya,ELINT,In orbit,Operational,"
First EELV launch from Vandenberg, carried SBIRS-HEO-1 and TWINS-A instruments for the US Air Force and NASA respectively, NRO Launch 22
"
30 June06:25,R-29RMU Sineva,,Russia,"K-84 Ekaterinburg, Barents Sea",VMF,,VMF,Suborbital,Missile test,30 June,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
1 July06:39,Terrier-Orion,,Norway,Andøya,Andøya/NASA,/SPIRIT-III,ESPRIT,Suborbital,IonosphericPlasma research,1 July,Successful,"
Apogee: 200 kilometres (120 mi)
"
1 July06:39,Terrier-Orion,,Norway,Andøya,Andøya,HotPay-1,Andøya,Suborbital,Aeronomy,1 July,Launch failure,"
Apogee: 40 kilometres (25 mi)
"
4 July18:32,Hwasong-6,,North Korea,Kittaeryong,KPA,,KPA,Suborbital,Missile test,4 July,Successful,"
Apogee: 150 kilometres (93 mi), first of seven North Korean launches in fourteen hours
"
4 July18:37:55,Space Shuttle Discovery,,United States,Kennedy LC-39B,United Space Alliance,"STS-121
Leonardo MPLM","NASA
ASI/NASA","Low Earth (ISS)
Low Earth (ISS)","ISS assembly
Logistics","17 July13:14
Successful","
Crewed flight with 7 astronauts, second Return to Flight mission after Columbia accident
"
4 July19:04,Rodong-1,,North Korea,Kittaeryong,KPA,,KPA,Suborbital,Missile test,4 July,Successful,"
Apogee: 150 kilometres (93 mi), second of seven North Korean launches in fourteen hours
"
4 July20:01,Taepodong-2,,North Korea,Musudan-ri,KPA,Kwangmyŏngsŏng-2,KPA,Intended: Low Earth(unconfirmed),Weather/Communication,+42 seconds,Launch failure,"
Maiden flight of Taepodong-2, rocket failed shortly after launch, reaching an apogee of 4 kilometres (2.5 mi), intended as an orbital launch attempt, but later North Korea claimed for a suborbital missile self-destruct test and destruction success (not launch failure), third of seven North Korean launches in fourteen hours
"
4 July22:31,Rodong-1,,North Korea,Kittaeryong,KPA,,KPA,Suborbital,Missile test,4 July,Successful,"
Apogee: 150 kilometres (93 mi), fourth of seven North Korean launches in fourteen hours
"
4 July22:12,Hwasong-6,,North Korea,Kittaeryong,KPA,,KPA,Suborbital,Missile test,4 July,Successful,"
Apogee: 150 kilometres (93 mi), fifth of seven North Korean launches in fourteen hours
"
4 July23:20,Rodong-1,,North Korea,Kittaeryong,KPA,,KPA,Suborbital,Missile test,4 July,Successful,"
Apogee: 150 kilometres (93 mi), sixth of seven North Korean launches in fourteen hours
"
5 July08:20,Rodong-1,,North Korea,Kittaeryong,KPA,,KPA,Suborbital,Missile test,5 July,Successful,"
Apogee: 150 kilometres (93 mi), last of seven North Korean launches in fourteen hours
"
9 July05:33,Agni III,,India,Integrated Test Range LC-4,DRDO,,DRDO,Suborbital,Missile test,9 July,Successful,"
Apogee: 100 kilometres (62 mi)
"
10 July12:08,GSLV,,India,Satish Dhawan,ISRO,INSAT 4C,ISRO,Intended: Geostationary,Communications,T+60 seconds,Launch failure,"
Loss of control due to LRB engine failure, self-destructed 60 seconds into flight
"
12 July11:17,Hera,,United States,White Sands,US Army,FFT-4 Target,US Army/MDA,Suborbital,Target,12 July,Successful,"
Apogee: 300 kilometres (190 mi), Intercepted after reentry by endoatmospheric THAAD launched at 11:20
"
12 July14:53:36,Dnepr,,Russia,Dombarovskiy,ISC Kosmotras,Genesis I,Bigelow,Low Earth,Technology,In orbit,Operational,"
First uncrewed prototype of a commercial space station module
"
21 July10:14,LGM-30G Minuteman III,,United States,Vandenberg LF-09,US Air Force,GT-192GM,US Air Force,Suborbital,Missile test,21 July,Successful,"
Carried three Mk.21 reentry vehicles, apogee: 1,300 kilometres (810 mi)
"
21 July04:20:03,Molniya-M,,Russia,Plesetsk Site 16/2,VKS,Kosmos 2422 (Oko),VKS,Molniya,Missile defense,22 November 201922:15,Successful
26 July19:43:05,Dnepr,,Kazakhstan,Baikonur Site 109/95,ISC Kosmotras,"BelKA
Unisat-4
Baumanets
PicPot
SACRED
ION
Rincon 1
ICECube-1
KUTESat Pathfinder
SEEDS
nCube-1
HAUSAT-1
MEROPE
CP2
AeroCube-1
CP1
Mea Huaka'i (Voyager)
ICECube-2","NAS
Sapienza
Roskosmos
PoliTo
ArizonaMontpelierAlcatel
Illinois
Arizona
Cornell
Kansas
Nichidai
NSSP
HAU
Montana
CalPoly
Aerospace
CalPoly
Hawaii
Cornell","Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth
Intended: Low Earth","Observation
Technology
Technology
Technology
Radiation
TechnologyIonospheric
Technology
Technology
Technology
Amateur radio
Technology
Technology
Technology
Technology
Technology
Technology
Technology
Technology","
First-stage engine hydraulic pump failure, thrust termination system activated
"
28 July07:05:43,Rokot/Briz-KM,,Russia,Plesetsk Site 133/3,Eurockot,Arirang-2 (KOMPSAT-2),KARI,Low Earth,Earth Observation,In orbit,Operational
3 August10:38,RT-2PM Topol (RS-12M),,Russia,Plesetsk,RVSN,,RVSN,Suborbital,Missile test,11:04,Successful,"
Apogee: 1,000 kilometres (620 mi), impacted Kura Test Range
"
4 August21:48:00,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Hot Bird 8,Eutelsat,Geosynchronous,Communications,In orbit,Operational
11 August22:15,Ariane 5ECA,,France,Kourou ELA-3,Arianespace,"JCSat 10
Syracuse 3B","JSAT
DGA","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
21 August14:30,Black Brant IX,,United States,White Sands LC-36,NASA,,MDA,Suborbital,Target,21 August,Successful,"
Apogee: 380 kilometres (240 mi)
"
22 August03:27:01,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,Koreasat 5,KT/ADD,Geosynchronous,Communications,In orbit,Operational
25 August14:30,Black Brant IX,,United States,White Sands LC-36,NASA,,MDA,Suborbital,Target,21 August,Successful,"
Apogee: 382 kilometres (237 mi), THAAD target
"
