Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
15 January16:24:59,Rokot / Briz-KM,,Russia,Plesetsk Site 133/3,VKO,"Kosmos 2482 (Strela-3M)
Kosmos 2483 (Strela-3M)
Kosmos 2484 (Strela-3M)","VKO
VKO
VKO","Low Earth
Low Earth
Low Earth","Communications
Communications
Communications","In orbit
In orbit
In orbit","Operational
Launch Failure
Operational","
Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.
"
27 January04:40:00,H-IIA 202,,Japan,Tanegashima LA-Y1,Mitsubishi,"IGS Radar 4
IGS Optical 5V","CSIC
CSIC","Low Earth (SSO)
Low Earth (SSO)","Reconnaissance
Technology demonstration","In orbit
20 February 2019","Operational
Successful"
30 January07:00:00,Naro-1,,South Korea,Naro LC-1,Khrunichev / KARI,STSAT-2C,KARI,Low Earth,Technology demonstration,13 November 2019,Successful,"
First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.
"
31 January01:48:00,Atlas V 401,,United States,Cape Canaveral SLC-41,United Launch Alliance,TDRS-K (TDRS-11),NASA,Geosynchronous,Communications,In orbit,Operational
1 February06:56:00,Zenit-3SL,,Norway,Odyssey,Sea Launch,Intelsat 27,Intelsat,Intended: Geosynchronous,Communications,+40 seconds,Launch failure,"
First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.
"
6 February16:04:24,Soyuz-2.1a / Fregat,,Kazakhstan,Baikonur Site 31/6,Starsem,"Globalstar M078
Globalstar M093
Globalstar M094
Globalstar M095
Globalstar M096
Globalstar M097","Globalstar
Globalstar
Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational
Operational"
7 February21:36:07,Ariane 5 ECA,,France,Kourou ELA-3,Arianespace,"Azerspace-1/Africasat-1a
Amazonas 3","AMAKA
Hispasat","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
11 February14:41:46,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Progress M-18M / 50P,Roscosmos,Low Earth (ISS),ISS logistics,26 July,Successful
11 February18:02:00,Atlas V 401,,United States,Vandenberg SLC-3E,United Launch Alliance,Landsat DCM,USGS,Low Earth (SSO),Remote sensing,In orbit,Operational
25 February12:31,PSLV-CA,,India,Satish Dhawan FLP,ISRO,"SARAL
Sapphire
NEOSSat
UniBRITE-1
TUGSAT-1","ISRO / CNES
DND
CSA
University of Vienna
TU Graz","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Oceanography
Space surveillance
Asteroid detection
Optical astronomy
Optical astronomy","In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational","
TUGSAT-1 is the first Austrian satellite.
"
1 March15:10:13,Falcon 9 v1.0,,United States,Cape Canaveral SLC-40,SpaceX,SpaceX CRS-2,NASA,Low Earth (ISS),ISS logistics,26 March16:34,Successful,"
Final flight of Falcon 9 v1.0
"
19 March21:21:00,Atlas V 401,,United States,Cape Canaveral SLC-41,United Launch Alliance,USA-241 (SBIRS-GEO 2),US Air Force,Geosynchronous,Missile defense,In orbit,Operational
26 March19:06:48,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Satmex 8,Satmex,Geosynchronous,Communications,In orbit,Operational
28 March20:43:20,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Soyuz TMA-08M,Roscosmos,Low Earth (ISS),Expedition 35/36,11 September02:58,Successful,"
Crewed flight
"
15 April18:36:00,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Anik G1,Telesat,Geosynchronous,Communications,In orbit,Operational
19 April10:00:00,Soyuz-2.1a,,Kazakhstan,Baikonur Site 31/6,Roscosmos,"Bion-M No.1
AIST No.2","Roscosmos
SSAU","Low Earth
Low Earth","Biological science
Technology demonstration","19 May03:12
In orbit","Successful
Operational",21 April21:00:02,Antares 110,,United States,MARS LP-0A,Orbital Sciences,Cygnus Mass Simulator,NASA,Low Earth,Test flight,10 May,Successful,"
Maiden flight of Antares, COTS risk reduction flight.
"
24 April10:12:16,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Progress M-19M / 51P,Roscosmos,Low Earth (ISS),ISS logistics,19 June,Successful
26 April04:13:04,Long March 2D,,China,Jiuquan SLS-2,SAST,Gaofen 1,CNSA,Low Earth (SSO),Earth observation,In orbit,Operational,"
NEE-01 Pegaso is the first Ecuadorian satellite.
"
26 April05:23:41,Soyuz-2.1b / Fregat,,Russia,Plesetsk Site 43/4,RVSN RF,Kosmos 2485 (GLONASS-M 747),VKO,Medium Earth,Navigation,In orbit,Operational
1 May16:06:04,Long March 3B/E,,China,Xichang LC-2,CALT,ChinaSat 11,China Satcom,Geosynchronous,Communications,In orbit,Operational
7 May02:06:31,Vega,,France,Kourou ELV,Arianespace,"Proba-V
VNREDSat 1A","ESA
VAST","Low Earth (SSO)
Low Earth (SSO)","Technology demonstration
Earth observation","In orbit
In orbit","Operational
Operational","
ESTCube-1 is the first Estonian satellite.
"
14 May16:02:00,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Eutelsat 3D,Eutelsat,Geosynchronous,Communications,In orbit,Operational
15 May21:38:00,Atlas V 401,,United States,Cape Canaveral SLC-41,United Launch Alliance,USA-242 (GPS IIF-4),U.S. Air Force,Medium Earth,Navigation,In orbit,Operational
25 May00:27:00,"Delta IV-M+ (5,4)",,United States,Cape Canaveral SLC-37B,United Launch Alliance,USA-243 (WGS-5),U.S. Air Force,Geosynchronous,Communications,In orbit,Operational
28 May20:31:24,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Soyuz TMA-09M,Roscosmos,Low Earth (ISS),Expedition 36/37,11 November02:49,Successful,"
Crewed flight
"
3 June09:18:31,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,SES-6,SES S.A.,Geosynchronous,Communications,In orbit,Operational
5 June21:52:11,Ariane 5 ES,,France,Kourou ELA-3,Arianespace,Albert Einstein ATV,ESA,Low Earth (ISS),ISS logistics,28 October,Successful
7 June18:37:59,Soyuz-2.1b,,Russia,Plesetsk Site 43/4,VKO,Kosmos 2486 (Persona),VKO,Low Earth (SSO),Optical reconnaissance,In orbit,Operational
11 June09:38:02,Long March 2F,,China,Jiuquan SLS-1,CALT,Shenzhou 10,CASC,Low Earth (Tiangong-1),Technology demonstration,26 June00:07,Successful,"
China's fifth crewed spaceflight mission (2 men, 1 woman astronaut) to Tiangong-1 space lab.
"
25 June17:28:48,Soyuz-2.1b,,Kazakhstan,Baikonur Site 31/6,Roscosmos,Resurs-P No.1,Roscosmos,Low Earth (SSO),Remote sensing,In orbit,Operational
25 June19:27:03,Soyuz-STB / Fregat,,France,Kourou ELS,Arianespace,"O3b PFM
O3b FM2
O3b FM4
O3b FM5","O3b Networks
O3b Networks
O3b Networks
O3b Networks","Medium Earth
Medium Earth
Medium Earth
Medium Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
27 June16:53:00,Strela,,Kazakhstan,Baikonur Site 175/59,Roscosmos,Kosmos 2487 (Kondor No.202),Roscosmos,Low Earth,Radar imaging,In orbit,Operational
28 June02:27:46,Pegasus-XL,,United States,"Stargazer, Vandenberg",Orbital Sciences,IRIS,NASA,Low Earth (SSO),Heliophysics,In orbit,Operational
1 July18:11,PSLV-XL,,India,Satish Dhawan FLP,ISRO,IRNSS-1A,ISRO,Geosynchronous,Navigation,In orbit,Operational
2 July02:38:22,Proton-M / DM-03 Enhanced,,Kazakhstan,Baikonur Site 81/24,RVSN RF,"GLONASS-M 748
GLONASS-M 749
GLONASS-M 750","VKO
VKO
VKO","Intended: Medium Earth
Intended: Medium Earth
Intended: Medium Earth","Navigation
Navigation
Navigation","
First stage guidance failure due to angular velocity sensors installed upside down, rocket crashed near launch pad.
"
15 July09:27:03,Long March 2C,,China,Jiuquan SLS-2,CALT,Shijian 11-05,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational
19 July13:00:00,Atlas V 551,,United States,Cape Canaveral SLC-41,United Launch Alliance,MUOS-2,U.S. Navy,Geosynchronous,Communications,In orbit,Operational
19 July23:37:55,Long March 4C,,China,Taiyuan LC-9,SAST,"Shijian 15
Shiyan 7
Chuang Xin 3","CNSA
CNSA
CNSA","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Technology demonstration
Technology demonstration
Technology demonstration","In orbit
In orbit
In orbit","Operational
Operational
Operational"
25 July19:54:07,Ariane 5 ECA,,France,Kourou ELA-3,Arianespace,"Alphasat I-XL (Inmarsat-XL)
INSAT-3D","ESA / Inmarsat
ISRO","Geosynchronous
Geosynchronous","Technology demonstration / Communications
Meteorology","In orbit
In orbit","Operational
Operational","
First Alphabus satellite.
"
27 July20:45:08,Soyuz-U,,Kazakhstan,Baikonur Site 31/6,Roscosmos,Progress M-20M / 52P,Roscosmos,Low Earth (ISS),ISS logistics,11 February 2014,Successful
3 August19:48:46,H-IIB,,Japan,Tanegashima LA-Y2,MHI,Kounotori 4,JAXA,Low Earth (ISS),ISS logistics,7 September,Successful,8 August00:29:00,"Delta IV-M+ (5,4)",,United States,Cape Canaveral SLC-37B,United Launch Alliance,USA-244 (WGS-6),U.S. Air Force,Geosynchronous,Communications,In orbit,Operational
22 August14:39:13,Dnepr,,Russia,Dombarovsky Site 13,ISC Kosmotras,KOMPSat-5 (Arirang-5),KARI,Low Earth (SSO),Remote sensing,In orbit,Operational
28 August18:03:00,Delta IV Heavy,,United States,Vandenberg SLC-6,United Launch Alliance,USA-245 (KH-11),NRO,Low Earth (SSO),Optical Imaging,In orbit,Operational,"
NRO Launch 65; final KH-11 satellite.
"
29 August20:30:07,Ariane 5 ECA,,France,Kourou ELA-3,Arianespace,"Eutelsat 25B/Es'hail 1
GSAT-7","Eutelsat / Es'hailSat
ISRO","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
31 August20:05:00,Zenit-3SLB,,Kazakhstan,Baikonur Site 45/1,SIS,Amos-4,SCL,Geosynchronous,Communications,In orbit,Operational
1 September19:16,Long March 4C,,China,Jiuquan SLS-2,SAST,"Yaogan 17A
Yaogan 17B
Yaogan 17C","CNSA
CNSA
CNSA","Low Earth
Low Earth
Low Earth","ELINT
ELINT
ELINT","In orbit
In orbit
In orbit","Operational
Operational
Operational"
7 September03:27:00,Minotaur V,,United States,MARS LP-0B,Orbital Sciences,LADEE,NASA,Selenocentric,Lunar orbiter,18 April 201404:30,Successful,"
Maiden flight of Minotaur V, first Lunar launch from MARS.
"
11 September23:23:04,Rokot / Briz-KM,,Russia,Plesetsk Site 133/3,VKO,"Gonets-M 5
Gonets-M 6
Gonets-M 7","Gonets Satellite System
Gonets Satellite System
Gonets Satellite System","Low Earth
Low Earth
Low Earth","Communications
Communications
Communications","In orbit
In orbit
In orbit","Operational
Operational
Operational"
14 September05:00:00,Epsilon,,Japan,Uchinoura,JAXA,Hisaki (SPRINT-A),JAXA,Low Earth,Ultraviolet astronomy,In orbit,Operational,"
Maiden flight of the Epsilon rocket.
"
18 September08:10:00,Atlas V 531,,United States,Cape Canaveral SLC-41,United Launch Alliance,USA-246 (AEHF-3),U.S. Air Force,Geosynchronous,Communications,In orbit,Operational
18 September14:58:02,Antares 110,,United States,MARS LP-0A,Orbital Sciences,Cygnus 1  S.S. G. David Low,NASA,Low Earth (ISS),ISS logistics / Test flight,23 October18:16,Successful,"
Maiden flight of Cygnus; COTS demonstration flight; final flight of Antares 110.
"
23 September03:07:11,Long March 4C,,China,Taiyuan LC-9,SAST,Fengyun 3C,CMA,Low Earth (SSO),Meteorology,In orbit,Operational
25 September04:37,Kuaizhou,,China,Jiuquan,CASIC,Kuaizhou-1,CAS,Low Earth (SSO),Optical imaging,1 September 2015,Successful,"
Maiden flight of Kuaizhou.
"
25 September20:58:50,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Soyuz TMA-10M,Roscosmos,Low Earth (ISS),Expedition 37/38,11 March 201403:24,Successful,"
Crewed flight
"
29 September16:00:00,Falcon 9 v1.1,,United States,Vandenberg SLC-4E,SpaceX,"CASSIOPE
CUSat
DANDE","MDA Corporation
Cornell
CU-Boulder","Low Earth
Low Earth
Low Earth","Communications/science
Technology demonstration
Technology demonstration","In orbit
In orbit
In orbit","Operational
Operational
Operational","
Maiden flight of Falcon 9 v1.1.
"
29 September21:38:10,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Astra 2E,SES S.A.,Geosynchronous,Communications,In orbit,Operational
25 October03:50:03,Long March 4B,,China,Jiuquan SLS-2,SAST,Shijian 16,CNSA,Low Earth,Technology demonstration,In orbit,Operational
25 October18:08:54,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Sirius FM-6,Sirius Satellite Radio,Geosynchronous,Communications,In orbit,Operational
29 October02:50:04,Long March 2C,,China,Taiyuan LC-9,CALT,Yaogan 18,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational
5 November09:08,PSLV-XL,,India,Satish Dhawan FLP,ISRO,Mars Orbiter Mission,ISRO,Areocentric,Mars orbiter,In orbit,Operational,"
India's first interplanetary mission.
"
7 November04:14:15,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Soyuz TMA-11M,Roscosmos,Low Earth (ISS),Expedition 38/39,14 May 201401:58,Successful,"
Crewed flight
"
11 November23:46:00,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 81/24,RVSN RF,Raduga-1M 3,VKO,Geosynchronous,Communications,In orbit,Operational
18 November18:28:00,Atlas V 401,,United States,Cape Canaveral SLC-41,United Launch Alliance,MAVEN,NASA,Areocentric,Martian atmospheric research,In orbit,Operational,"
NASA space probe to study the Martian atmosphere.
"
