Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
10 January09:47:10,Falcon 9 v1.1,,United States,Cape Canaveral SLC-40,SpaceX,SpaceX CRS-5,NASA,Low Earth (ISS),ISS resupply,11 February 201500:44,Successful,"
SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform. The AESP-14 CubeSat was deployed from the space station on 5 February 2015, while the Flock-1 CubeSats were deployed on 3 March 2015.
"
21 January01:04:00,Atlas V 551,,United States,Cape Canaveral SLC-41,United Launch Alliance,MUOS-3,US Navy,Geosynchronous,Communications,In orbit,Operational
31 January14:22:00,Delta II 7320,,United States,Vandenberg SLC-2W,United Launch Alliance,"SMAP
FIREBIRD II A
FIREBIRD II B
GRIFEX
ExoCube","NASA
Montana State
Montana State
NASA / JPL
Cal Poly","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Earth observation
Technology demonstration
Technology demonstration
Technology demonstration
Technology demonstration","In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational"
1 February01:21:00,H-IIA 202,,Japan,Tanegashima LA-Y1,MHI,IGS-Radar Spare,CSICE,Low Earth (SSO),Reconnaissance,In orbit,Operational
1 February12:31:00,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Inmarsat 5-F2,Inmarsat,Geosynchronous,Communications,In orbit,Operational
2 February08:50,Safir,,Iran,Semnan,ISA,Fajr,ISA,Low Earth,Technology demonstration,26 February 2015,Successful
11 February13:40:00,Vega,,France,Kourou ELV,Arianespace,IXV,ESA,Transatmospheric,Technology demonstration,11 February 201515:19,Successful,"
Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV
"
11 February23:03:32,Falcon 9 v1.1,,United States,Cape Canaveral SLC-40,SpaceX,DSCOVR,NOAA,Sun–Earth L1,Earth observation / Heliophysics,In orbit,Operational,"
First SpaceX launch aimed beyond GTO. First stage soft landed on water.
"
17 February11:00:17,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roscosmos,Progress M-26M / 58P,Roscosmos,Low Earth (ISS),ISS resupply,14 August 201514:17,Successful
